SPECIES	QUERY	SYMBOL
human	C2ORF29	CNOT11
human	SFRS2IP	SCAF11
mouse	SFRS2IP	Scaf11
rat	SFRS2IP	Scaf11
human	FAM108B1	ABHD17B
mouse	FAM108B1	Abhd17b
rat	FAM108B1	Abhd17b
human	C15ORF40	C15orf40
human	PI4KAP2	PI4KAP2
human	PI4KAP2	PI4KAP2
human	TPI1	TPI1
mouse	TPI1	Tpi1
rat	TPI1	Tpi1
human	SNHG11	SNHG11
human	SNHG11	SNHG11
mouse	SNHG11	Snhg11
rat	SNHG11	Snhg11
human	C15ORF23	KNSTRN
mouse	C15ORF23	Knstrn
rat	C15ORF23	Knstrn
human	HIATL1	MFSD14B
mouse	HIATL1	Mfsd14b
rat	HIATL1	Mfsd14b
human	FAM10A7	ST13P7
human	GLTSCR1	BICRA
mouse	GLTSCR1	Bicra
rat	GLTSCR1	Bicra
human	METTL11A	NTMT1
mouse	METTL11A	Ntmt1
rat	METTL11A	Ntmt1
human	RNF5P1	RNF5P1
human	RNF5P1	RNF5P1
human	C19ORF66	C19orf66
human	KIAA1468	RELCH
mouse	KIAA1468	Relch
human	PCNP	PCNP
mouse	PCNP	Pcnp
rat	PCNP	Pcnp
human	POLD3	POLD3
mouse	POLD3	Pold3
rat	POLD3	Pold3
human	PREI3	MOB4
mouse	PREI3	Mob4
rat	PREI3	Mob4
human	STX10	STX10
human	TIGD7	TIGD7
human	ZNF529	ZNF529
human	C3ORF38	C3orf38
human	CROP	LUC7L3
rat	CROP	Luc7l3
human	CICE	CIDECP
human	THOC4	ALYREF
mouse	THOC4	Alyref
rat	THOC4	Alyref
human	SNORA70	SNORA70
mouse	SNORA70	Snora70
mouse	SNORA70	Snora70
human	ZNF701	ZNF701
human	C17ORF80	C17orf80
human	GNAQ	GNAQ
mouse	GNAQ	Gnaq
rat	GNAQ	Gnaq
human	ZNF721	ZNF721
human	WDR57	SNRNP40
mouse	WDR57	Snrnp40
human	PIPSL	PIPSL
human	PIPSL	PIPSL
human	C17ORF60	MILR1
human	SDCCAG1	NEMF
mouse	SDCCAG1	Nemf
rat	SDCCAG1	Nemf
rat	SDCCAG1	Sdccag1-ps1
human	KIAA0261	WAPL
human	C15ORF44	INTS14
human	C7ORF28B	CCZ1B
human	GPR89C	GPR89B
human	ACP1	ACP1
mouse	ACP1	Acp1
rat	ACP1	Acp1
human	ACP1	NDUFAB1
human	MRC1L1	MRC1
rat	BP75	Bp75
human	BP75	BRD7
mouse	BP75	Brd7
human	BP75	BRD7P3
human	POLR2J3	POLR2J3
human	POLR2J3	POLR2J3
human	POLR2J3	POLR2J2
human	SCML1	SCML1
mouse	SCML1	Scml1
mouse	SCML1	Scml1
rat	SCML1	Scml1
human	SCML1	NHS
mouse	SCML1	Scmh1
human	C18ORF21	C18orf21
human	C9ORF156	TRMO
human	TMEM134	TMEM134
mouse	TMEM134	Tmem134
rat	TMEM134	Tmem134
human	FAM175B	ABRAXAS2
mouse	FAM175B	Abraxas2
rat	FAM175B	Abraxas2
human	SFRS12	SREK1
mouse	SFRS12	Srek1
rat	SFRS12	Srek1
human	C19ORF12	C19orf12
human	C19ORF62	BABAM1
human	FAM116A	DENND6A
mouse	FAM116A	Dennd6a
rat	FAM116A	Dennd6a
human	TOP1P2	TOP1P2
human	SMEK2	PPP4R3B
mouse	SMEK2	Ppp4r3b
rat	SMEK2	Ppp4r3b
human	C9ORF167	TOR4A
human	C14ORF104	DNAAF2
human	CCL4L1	CCL4L1
human	SETD1A	SETD1A
mouse	SETD1A	Setd1a
rat	SETD1A	Setd1a
rat	SETD1A	Setd1a
human	WDR45L	WDR45B
mouse	WDR45L	Wdr45b
rat	WDR45L	Wdr45b
human	CENTB2	ACAP2
mouse	CENTB2	Acap2
rat	CENTB2	Acap2
human	LOC647481	LOC647481
human	C6ORF64	SAYSD1
human	SFRS11	SRSF11
mouse	SFRS11	Srsf11
rat	SFRS11	Srsf11
human	C17ORF62	CYBC1
human	NCOA6IP	TGS1
mouse	NCOA6IP	Tgs1
rat	NCOA6IP	Tgs1
human	KIAA0460	RPRD2
human	C16ORF70	C16orf70
human	KIAA0195	TMEM94
mouse	KIAA0195	Tmem94
human	SSFA2	ITPRID2
mouse	SSFA2	Itprid2
rat	SSFA2	Itprid2
human	TTC15	TRAPPC12
mouse	TTC15	Trappc12
rat	TTC15	Trappc12
human	HOM-TES-103	IFFO1
mouse	HOM-TES-103	Iffo1
human	ITFG3	FAM234A
mouse	ITFG3	Fam234a
rat	ITFG3	Fam234a
human	LOC407835	LOC407835
human	SAPS1	PPP6R1
